,byWitnessRep,operatingError,reportingError
27729,True,0.132768263118913,0.1006218908164412
27936,False,0.167081831060657,0.1624169224293868
27945,True,0.1315601400355061,0.1001993388270117
28152,False,0.1749168565752152,0.1522538659818809
28161,True,0.1287003404086988,0.108380399517005
28368,False,0.1696191464987232,0.1451271831801665
28377,True,0.1324485144700399,0.0959431280449975
28584,False,0.1768571226567382,0.1658429409901812
28593,True,0.1282305738644151,0.094478548222475
28800,False,0.1820222047589671,0.1594925551929977
28809,True,0.1268032754017378,0.0968779682018264
29016,False,0.1786605091454562,0.1449026650041932
29025,True,0.1204021521384351,0.0916914790091678
29232,False,0.1704885045341544,0.1570648555752855
29241,True,0.127611001200866,0.1012377975553609
29448,False,0.1743483987980025,0.1550972845172685
29457,True,0.1383857893273987,0.1043342475226309
29664,False,0.1784151530063435,0.1634053354436245
29673,True,0.1302178122548198,0.1048241467676506
29880,False,0.1779625212172058,0.1653720079979287
29889,True,0.1281127780632454,0.1038694092105438
30096,False,0.1736975583675421,0.1756897903760584
30105,True,0.1304413838599397,0.0973046621831701
30312,False,0.1767528346777333,0.1562077662406048
30321,True,0.1364662078080817,0.1063888319236579
30528,False,0.1778626165132589,0.1598952237690701
30537,True,0.1250310668845686,0.094460708268791
30744,False,0.1839434515238901,0.1612898677321949
30753,True,0.1192217621601712,0.1024213011990234
30960,False,0.1715210840568039,0.1673663726807097
