,propNormal,operatingError,reportingError
52776,0.1,0.8496161223659492,0.8474019485260775
52992,0.5,0.4157552124867986,0.5062966998380004
53208,0.1,0.8570586278228248,0.8435770594113019
53424,0.5,0.4028364984955246,0.4802418793902523
53640,0.1,0.8552783069565686,0.8469334973491103
53856,0.5,0.4071014114641431,0.4936708081667131
54072,0.1,0.8628407558576479,0.8483595682351792
54288,0.5,0.4145791290128325,0.4995054341377062
54504,0.1,0.8682460552937684,0.840315658500679
54720,0.5,0.430728240043716,0.5125751475044459
54936,0.1,0.8434449184077164,0.8359925082027962
55152,0.5,0.409364917823147,0.5031949398378562
55368,0.1,0.8629781896528403,0.8354854837414795
55584,0.5,0.4134605321064415,0.4926016475014098
55800,0.1,0.8632992084003337,0.8470261131361699
56016,0.5,0.4118150872379003,0.5040050640011411
56232,0.1,0.8525912270135045,0.8433235528185533
56448,0.5,0.4111153136087315,0.4883549629105311
56664,0.1,0.8621779597607866,0.8336532439328704
56880,0.5,0.3996974474115006,0.4911084478166584
57096,0.1,0.856072424334997,0.8427245643451574
57312,0.5,0.4107021676676314,0.4920133806262391
57528,0.1,0.8635113056375494,0.8476831244591991
57744,0.5,0.40883215944646,0.4845271880452128
57960,0.1,0.8718726275067101,0.8317000635315648
58176,0.5,0.405462373904318,0.4929869717710042
58392,0.1,0.865207800812795,0.8374968063991267
58608,0.5,0.4088431731706835,0.498687566301419
58824,0.1,0.8527797382454507,0.829347419168587
59040,0.5,0.4028913630072511,0.4920980555212008
59256,0.1,0.8776823564695717,0.8538715376761532
59472,0.5,0.4101460480880904,0.502734256402228
59688,0.1,0.8506968536877741,0.8470196485193042
59904,0.5,0.4172798129019319,0.4938924335471201
60120,0.1,0.8595252601633969,0.8381076330341446
60336,0.5,0.4167719066371597,0.5128961312753897
60552,0.1,0.8658637805257269,0.839562367554747
60768,0.5,0.4234810011965751,0.4941635678779645
60984,0.1,0.864429290370226,0.8483308158323183
61200,0.5,0.3980202555588373,0.4849115242111035
61416,0.1,0.8724275619020025,0.8371347130814623
61632,0.5,0.4070830670819079,0.4988555822242463
61848,0.1,0.8633531737236746,0.8473810223195354
62064,0.5,0.3975721850015561,0.5039426731808391
62280,0.1,0.8672386970060331,0.8332301434752698
62496,0.5,0.4126782162739187,0.4970132123645249
62712,0.1,0.8560142418038259,0.8295877041301
62928,0.5,0.4023359106788746,0.4782646704408337
63144,0.1,0.8545326753745508,0.8413998937743732
63360,0.5,0.410169817870312,0.5091242054199792
63576,0.1,0.8702011480882629,0.8362835096709276
63792,0.5,0.4112374127813838,0.5024038573953203
64008,0.1,0.87662933136824,0.8377396634362513
64224,0.5,0.4020466515206006,0.4940709134186866
64440,0.1,0.8516828484956082,0.8373760724198764
64656,0.5,0.4047293851445363,0.494662707172824
64872,0.1,0.8592617317394224,0.8439781786135745
65088,0.5,0.4006385920622063,0.501599341914654
65304,0.1,0.85057622839361,0.8457866276564535
65520,0.5,0.4164807580091449,0.4993940302929535
65736,0.1,0.8587338627602822,0.8383901733915881
65952,0.5,0.4118590302843384,0.5036508392626173
66168,0.1,0.8559008699968171,0.8468593502130178
66384,0.5,0.4024394310727816,0.4916999496263474
66600,0.1,0.862429492348642,0.8531935283671943
66816,0.5,0.4054971082963569,0.4956165559412631
67032,0.1,0.8545900974562296,0.8318726537472143
67248,0.5,0.3966887389895109,0.4778322181676259
67464,0.1,0.8548302572822218,0.8397745087113897
67680,0.5,0.3968163275664906,0.5057627361504576
67896,0.1,0.8751078233750662,0.848059056030655
68112,0.5,0.403207082286775,0.4896801787673091
68328,0.1,0.8583130060522897,0.8462399637469669
68544,0.5,0.4203690673550677,0.5086521875065313
68760,0.1,0.8633702065391943,0.8373132664726122
68976,0.5,0.4021465088437611,0.4928378168389526
69192,0.1,0.8534643676212522,0.8449726056139899
69408,0.5,0.4025326752766409,0.4929663736122595
69624,0.1,0.8576230725182209,0.841039409705476
69840,0.5,0.4118629463021065,0.5034515629717721
70056,0.1,0.8536999531948928,0.8356325226222951
70272,0.5,0.4042556554744844,0.4971028257094051
70488,0.1,0.8564465836235552,0.8393173750199697
70704,0.5,0.4160303871024717,0.4886957967578756
70920,0.1,0.8606606986779982,0.8441306196922246
71136,0.5,0.4093161455618683,0.5000233888021778
71352,0.1,0.8525173736971194,0.8482599228092687
71568,0.5,0.414515973320073,0.5039721397617974
71784,0.1,0.8547820032579742,0.8368902941169981
72000,0.5,0.4286778836618375,0.513089777295446
